stage,epoch,train_loss,val_r2,val_rmse,val_mae,val_accuracy,val_f1_weighted,val_f1_macro,val_precision_weighted,val_precision_macro,val_recall_weighted,val_recall_macro,seed,run
1,1,103.44201,-101.4407,5.8897,5.8615,0.2317,0.1996,0.1326,0.3646,0.1812,0.2317,0.2564,42,1
1,10,20.8423,-0.5282,0.7194,0.4673,0.1778,0.1006,0.1525,0.6553,0.3496,0.1778,0.3729,42,1
1,20,13.067198,-0.9529,0.8132,0.7216,0.6095,0.6356,0.5323,0.7569,0.5348,0.6095,0.6348,42,1
1,30,9.877727,-0.0512,0.5966,0.5221,0.727,0.7556,0.6548,0.8279,0.6512,0.727,0.7279,42,1
1,40,9.239194,0.0995,0.5522,0.495,0.8063,0.8242,0.727,0.8703,0.7362,0.8063,0.7736,42,1
1,50,7.828984,0.2587,0.501,0.4499,0.8286,0.8445,0.7592,0.88,0.7526,0.8286,0.8077,42,1
1,60,7.747737,0.3545,0.4675,0.4148,0.8317,0.8416,0.7471,0.859,0.7315,0.8317,0.7781,42,1
1,70,7.768408,0.1799,0.527,0.4815,0.8286,0.8387,0.7507,0.8599,0.7285,0.8286,0.7929,42,1
1,80,7.116406,0.379,0.4586,0.4103,0.8127,0.8276,0.7376,0.8634,0.7268,0.8127,0.7907,42,1
1,90,6.803847,0.427,0.4405,0.3947,0.8413,0.8514,0.7659,0.8764,0.7532,0.8413,0.8102,42,1
1,100,6.693232,0.4558,0.4293,0.3826,0.8413,0.8515,0.7654,0.8821,0.7634,0.8413,0.8074,42,1
1,110,6.654529,0.5542,0.3885,0.3389,0.8349,0.8462,0.7531,0.8749,0.7504,0.8349,0.7928,42,1
1,120,6.062848,0.4304,0.4392,0.3967,0.8476,0.8567,0.7681,0.8762,0.7556,0.8476,0.8016,42,1
1,130,6.145203,0.4534,0.4302,0.3866,0.8476,0.8567,0.7681,0.8762,0.7556,0.8476,0.8016,42,1
1,140,6.727148,0.4685,0.4242,0.3807,0.8444,0.8542,0.7631,0.8745,0.7518,0.8444,0.7963,42,1
1,150,6.522087,0.4643,0.4259,0.3828,0.8444,0.8544,0.7647,0.8772,0.7561,0.8444,0.8003,42,1
2,1,5.976693,0.5809,0.3767,0.3265,0.8444,0.8538,0.7646,0.8749,0.7537,0.8444,0.8003,42,1
2,15,5.84452,0.6656,0.3365,0.2866,0.8603,0.8648,0.7774,0.8729,0.7683,0.8603,0.7949,42,1
2,30,5.17687,0.7564,0.2872,0.2191,0.8635,0.866,0.7799,0.8741,0.7729,0.8635,0.7975,42,1
2,45,5.388699,0.8024,0.2587,0.1887,0.873,0.8774,0.7964,0.8905,0.7956,0.873,0.8162,42,1
2,60,4.976108,0.7556,0.2877,0.233,0.873,0.8757,0.7944,0.8805,0.7856,0.873,0.8082,42,1
2,75,4.887002,0.7805,0.2727,0.2127,0.8762,0.8771,0.7979,0.879,0.7918,0.8762,0.8054,42,1
2,90,4.727274,0.8215,0.2459,0.1771,0.8762,0.8778,0.7913,0.8799,0.7859,0.8762,0.7978,42,1
2,105,4.754621,0.8093,0.2541,0.1906,0.8762,0.8782,0.7965,0.881,0.7893,0.8762,0.8054,42,1
2,120,4.616208,0.8241,0.2441,0.178,0.8698,0.8721,0.7833,0.8753,0.7777,0.8698,0.7903,42,1
2,135,4.662182,0.8007,0.2598,0.2033,0.8635,0.8662,0.7734,0.8699,0.7688,0.8635,0.7801,42,1
2,150,4.168817,0.8279,0.2414,0.1767,0.873,0.8748,0.7944,0.8776,0.7869,0.873,0.8041,42,1
2,165,4.157671,0.8233,0.2446,0.1853,0.8635,0.8662,0.7782,0.87,0.7713,0.8635,0.7882,42,1
2,180,4.233639,0.8052,0.2568,0.1967,0.8698,0.8712,0.7874,0.873,0.7805,0.8698,0.7952,42,1
2,195,4.511161,0.8339,0.2372,0.1746,0.8635,0.8648,0.7747,0.8665,0.7688,0.8635,0.781,42,1
2,210,4.00848,0.8265,0.2424,0.1759,0.8571,0.8591,0.7607,0.8614,0.7552,0.8571,0.7667,42,1
2,225,4.209177,0.8256,0.243,0.1836,0.8667,0.8691,0.7783,0.8721,0.772,0.8667,0.7859,42,1
2,240,4.254332,0.8281,0.2413,0.1812,0.8667,0.8691,0.7808,0.8726,0.7739,0.8667,0.7899,42,1
2,255,4.073764,0.825,0.2434,0.1842,0.8603,0.8628,0.768,0.8658,0.7618,0.8603,0.7756,42,1
2,270,4.262281,0.8273,0.2418,0.1819,0.8635,0.8658,0.773,0.8688,0.7665,0.8635,0.781,42,1
2,285,4.113292,0.8283,0.2411,0.1807,0.8603,0.8623,0.7693,0.8649,0.764,0.8603,0.7761,42,1
2,300,4.012999,0.8264,0.2424,0.1822,0.8731,0.8648,0.7693,0.8776,0.764,0.8733,0.7761,42,1
